F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4
482.0, 531.0, 866.0, 162.0, 680.0, 425.0, -176.0, 504.0, -290.0, -240.0, -143.0, 304.0, 1021.0, 43.0

477.0, 531.0, 869.0, 165.0, 675.0, 424.0, -178.0, 498.0, -301.0, -255.0, -143.0, 298.0, 1017.0, 25.0

482.0, 531.0, 862.0, 160.0, 679.0, 424.0, -176.0, 509.0, -287.0, -241.0, -143.0, 293.0, 1021.0, 35.0

479.0, 531.0, 868.0, 163.0, 675.0, 424.0, -181.0, 515.0, -278.0, -234.0, -134.0, 298.0, 1024.0, 42.0

487.0, 529.0, 862.0, 169.0, 680.0, 425.0, -186.0, 500.0, -295.0, -243.0, -132.0, 305.0, 1030.0, 43.0

488.0, 535.0, 872.0, 171.0, 673.0, 418.0, -179.0, 508.0, -285.0, -240.0, -131.0, 310.0, 1024.0, 52.0

482.0, 534.0, 867.0, 159.0, 680.0, 427.0, -175.0, 500.0, -288.0, -241.0, -133.0, 305.0, 1021.0, 48.0

484.0, 534.0, 869.0, 163.0, 678.0, 426.0, -179.0, 507.0, -291.0, -234.0, -140.0, 297.0, 1021.0, 41.0

489.0, 543.0, 876.0, 175.0, 673.0, 424.0, -186.0, 510.0, -287.0, -239.0, -126.0, 319.0, 1037.0, 57.0

485.0, 539.0, 868.0, 169.0, 677.0, 417.0, -180.0, 506.0, -286.0, -232.0, -134.0, 309.0, 1029.0, 44.0

487.0, 536.0, 873.0, 165.0, 676.0, 421.0, -181.0, 503.0, -283.0, -238.0, -133.0, 305.0, 1028.0, 46.0

479.0, 536.0, 869.0, 162.0, 678.0, 421.0, -174.0, 510.0, -285.0, -245.0, -135.0, 305.0, 1027.0, 42.0

482.0, 527.0, 867.0, 166.0, 671.0, 424.0, -169.0, 512.0, -283.0, -232.0, -139.0, 299.0, 1031.0, 44.0

485.0, 535.0, 865.0, 170.0, 677.0, 427.0, -175.0, 510.0, -274.0, -236.0, -135.0, 301.0, 1024.0, 43.0

484.0, 533.0, 869.0, 168.0, 672.0, 421.0, -177.0, 505.0, -286.0, -240.0, -134.0, 306.0, 1025.0, 42.0

486.0, 537.0, 869.0, 165.0, 674.0, 422.0, -185.0, 509.0, -287.0, -237.0, -140.0, 313.0, 1033.0, 53.0

482.0, 540.0, 865.0, 166.0, 677.0, 424.0, -174.0, 510.0, -290.0, -233.0, -138.0, 300.0, 1024.0, 45.0

486.0, 528.0, 872.0, 167.0, 678.0, 426.0, -177.0, 507.0, -281.0, -241.0, -136.0, 296.0, 1029.0, 42.0

487.0, 528.0, 865.0, 169.0, 677.0, 416.0, -170.0, 514.0, -282.0, -239.0, -134.0, 301.0, 1027.0, 41.0

482.0, 532.0, 866.0, 168.0, 677.0, 424.0, -178.0, 502.0, -284.0, -243.0, -138.0, 301.0, 1023.0, 34.0

483.0, 535.0, 871.0, 169.0, 672.0, 428.0, -178.0, 498.0, -293.0, -246.0, -135.0, 310.0, 1024.0, 44.0

488.0, 535.0, 867.0, 164.0, 674.0, 422.0, -176.0, 507.0, -288.0, -237.0, -134.0, 304.0, 1024.0, 47.0

478.0, 530.0, 865.0, 166.0, 677.0, 418.0, -179.0, 507.0, -287.0, -237.0, -139.0, 299.0, 1022.0, 44.0

486.0, 534.0, 868.0, 173.0, 675.0, 423.0, -180.0, 500.0, -294.0, -245.0, -130.0, 302.0, 1020.0, 34.0

486.0, 532.0, 871.0, 169.0, 673.0, 419.0, -178.0, 510.0, -284.0, -236.0, -128.0, 306.0, 1030.0, 47.0

474.0, 528.0, 869.0, 169.0, 678.0, 422.0, -172.0, 506.0, -285.0, -237.0, -138.0, 296.0, 1026.0, 36.0

480.0, 532.0, 869.0, 165.0, 674.0, 425.0, -178.0, 505.0, -287.0, -241.0, -140.0, 293.0, 1027.0, 45.0

482.0, 536.0, 873.0, 171.0, 674.0, 423.0, -175.0, 509.0, -288.0, -232.0, -131.0, 304.0, 1032.0, 44.0

489.0, 534.0, 867.0, 172.0, 679.0, 422.0, -183.0, 505.0, -291.0, -245.0, -138.0, 305.0, 1027.0, 45.0

489.0, 536.0, 868.0, 168.0, 681.0, 422.0, -180.0, 500.0, -286.0, -234.0, -140.0, 307.0, 1028.0, 35.0

485.0, 530.0, 867.0, 168.0, 677.0, 427.0, -177.0, 511.0, -281.0, -239.0, -135.0, 305.0, 1029.0, 40.0

483.0, 528.0, 867.0, 164.0, 678.0, 425.0, -176.0, 512.0, -280.0, -237.0, -137.0, 310.0, 1026.0, 43.0

480.0, 534.0, 866.0, 167.0, 674.0, 423.0, -173.0, 507.0, -274.0, -235.0, -140.0, 307.0, 1020.0, 43.0

484.0, 537.0, 872.0, 167.0, 679.0, 416.0, -181.0, 505.0, -295.0, -245.0, -139.0, 297.0, 1029.0, 36.0

484.0, 543.0, 868.0, 176.0, 672.0, 419.0, -183.0, 511.0, -277.0, -230.0, -126.0, 312.0, 1034.0, 56.0

478.0, 531.0, 868.0, 163.0, 676.0, 422.0, -177.0, 503.0, -283.0, -244.0, -137.0, 292.0, 1019.0, 44.0

482.0, 534.0, 876.0, 171.0, 675.0, 421.0, -176.0, 508.0, -286.0, -241.0, -138.0, 299.0, 1023.0, 39.0

486.0, 539.0, 873.0, 170.0, 675.0, 421.0, -179.0, 516.0, -280.0, -237.0, -129.0, 306.0, 1032.0, 52.0

483.0, 536.0, 873.0, 170.0, 678.0, 418.0, -179.0, 501.0, -283.0, -240.0, -136.0, 309.0, 1029.0, 38.0

485.0, 533.0, 869.0, 176.0, 674.0, 426.0, -179.0, 498.0, -291.0, -247.0, -137.0, 296.0, 1022.0, 36.0

481.0, 530.0, 868.0, 165.0, 673.0, 421.0, -171.0, 510.0, -283.0, -235.0, -140.0, 301.0, 1029.0, 49.0

481.0, 533.0, 873.0, 163.0, 679.0, 423.0, -177.0, 511.0, -288.0, -237.0, -139.0, 300.0, 1023.0, 35.0

486.0, 527.0, 868.0, 165.0, 676.0, 422.0, -176.0, 507.0, -277.0, -233.0, -134.0, 294.0, 1024.0, 34.0

486.0, 538.0, 871.0, 165.0, 676.0, 416.0, -181.0, 510.0, -290.0, -246.0, -135.0, 304.0, 1029.0, 40.0

477.0, 529.0, 864.0, 165.0, 675.0, 428.0, -175.0, 509.0, -292.0, -238.0, -147.0, 299.0, 1023.0, 38.0

479.0, 529.0, 863.0, 162.0, 677.0, 426.0, -173.0, 507.0, -284.0, -240.0, -144.0, 299.0, 1015.0, 38.0

476.0, 524.0, 862.0, 163.0, 675.0, 423.0, -167.0, 501.0, -285.0, -244.0, -139.0, 296.0, 1020.0, 30.0

481.0, 532.0, 870.0, 168.0, 677.0, 423.0, -182.0, 511.0, -280.0, -235.0, -134.0, 309.0, 1029.0, 44.0

483.0, 541.0, 870.0, 174.0, 676.0, 420.0, -182.0, 499.0, -281.0, -237.0, -133.0, 308.0, 1030.0, 45.0

485.0, 536.0, 865.0, 165.0, 676.0, 426.0, -178.0, 505.0, -296.0, -244.0, -133.0, 305.0, 1021.0, 40.0

485.0, 538.0, 871.0, 166.0, 675.0, 426.0, -171.0, 508.0, -288.0, -233.0, -125.0, 309.0, 1027.0, 48.0

486.0, 532.0, 868.0, 167.0, 679.0, 418.0, -176.0, 508.0, -284.0, -237.0, -138.0, 299.0, 1035.0, 49.0

479.0, 535.0, 874.0, 172.0, 674.0, 418.0, -176.0, 499.0, -277.0, -241.0, -134.0, 302.0, 1021.0, 37.0

479.0, 536.0, 865.0, 170.0, 680.0, 423.0, -177.0, 506.0, -289.0, -242.0, -126.0, 306.0, 1031.0, 45.0

483.0, 537.0, 865.0, 167.0, 674.0, 421.0, -176.0, 511.0, -288.0, -242.0, -137.0, 306.0, 1023.0, 42.0

477.0, 527.0, 866.0, 168.0, 680.0, 421.0, -172.0, 509.0, -286.0, -237.0, -137.0, 297.0, 1020.0, 39.0

486.0, 532.0, 867.0, 170.0, 676.0, 425.0, -173.0, 508.0, -282.0, -239.0, -140.0, 302.0, 1029.0, 44.0

483.0, 534.0, 867.0, 165.0, 680.0, 418.0, -180.0, 508.0, -291.0, -242.0, -139.0, 298.0, 1030.0, 38.0

477.0, 536.0, 864.0, 165.0, 674.0, 422.0, -175.0, 502.0, -284.0, -235.0, -141.0, 302.0, 1031.0, 39.0

481.0, 537.0, 863.0, 164.0, 685.0, 429.0, -180.0, 505.0, -290.0, -236.0, -136.0, 298.0, 1020.0, 40.0

484.0, 529.0, 860.0, 166.0, 679.0, 427.0, -175.0, 508.0, -285.0, -238.0, -144.0, 301.0, 1022.0, 37.0

490.0, 536.0, 870.0, 169.0, 674.0, 420.0, -176.0, 505.0, -286.0, -242.0, -128.0, 313.0, 1031.0, 46.0

475.0, 519.0, 868.0, 169.0, 679.0, 426.0, -173.0, 501.0, -292.0, -249.0, -152.0, 289.0, 1010.0, 10.0

490.0, 537.0, 872.0, 171.0, 670.0, 422.0, -184.0, 498.0, -296.0, -241.0, -148.0, 299.0, 1030.0, 37.0

486.0, 554.0, 864.0, 172.0, 675.0, 416.0, -185.0, 502.0, -286.0, -234.0, -141.0, 309.0, 1031.0, 60.0

474.0, 508.0, 866.0, 152.0, 681.0, 425.0, -170.0, 504.0, -314.0, -257.0, -145.0, 286.0, 1006.0, 44.0

